Price,Acreage,Date Posted,Amenities_rating,Floors,days_since_min,Rooms,Distance_to_center
3.35,42,2023-09-28 06:44:58,4.8,1,386,4,6.123687141073059
4.35,50,2023-09-27 11:34:27,6.0,2,386,5,9.358332682661967
3.3,75,2023-09-27 11:35:30,4.8,3,386,6,4.0356978692720755
5.2,60,2023-09-27 11:49:23,6.0,2,386,6,3.0254023126260323
4.16,41,2023-09-27 12:04:56,0.0,2,386,4,5.204464978347499
5.3,48,2023-09-27 12:22:27,1.5,3,386,7,10.527530422973213
4.9,44,2023-09-27 12:33:51,4.8,3,386,7,10.527530422973213
13.5,102,2023-09-27 13:49:36,4.8,3,386,8,3.1355309029100744
4.35,52,2023-09-27 13:59:30,3.0,3,386,7,9.358332682661967
7.28,108,2023-09-27 15:16:22,1.5,4,386,9,10.527530422973213
3.5,34,2023-09-27 15:41:04,3.3,1,386,4,5.609554429497919
6.0,55,2023-09-27 15:50:57,4.8,4,386,8,7.467894688725249
2.5,31,2023-09-27 16:35:15,3.0,2,386,4,10.240431817143143
5.8,30,2023-09-27 11:16:04,4.2,2,386,6,6.9247897538086844
5.3,80,2023-09-27 09:52:14,4.8,2,386,6,7.621127302391137
2.7,36,2023-09-27 11:06:13,3.3,3,386,5,3.1355309029100744
5.88,76,2023-09-25 22:45:44,4.8,2,384,9,10.527530422973213
5.7,80,2023-09-25 22:49:17,3.3,2,384,4,5.609554429497919
6.5,85,2023-09-26 09:52:47,6.0,2,385,7,2.7855683376066063
5.5,55,2023-09-26 09:56:11,4.8,3,385,10,7.176723444190649
10.28,100,2023-09-26 10:10:49,3.3,2,385,10,7.492016428368164
4.7,55,2023-09-26 11:21:16,4.8,2,385,4,5.5862517112339924
10.28,88,2023-09-26 12:53:15,4.8,4,385,7,10.527530422973213
5.5,59,2023-09-26 14:32:11,4.2,4,385,8,5.609554429497919
5.8,53,2023-09-26 15:07:16,4.8,4,385,8,4.064113191301924
14.0,45,2023-09-26 16:52:46,4.8,2,385,10,3.023717385504793
5.0,84,2023-09-26 19:44:15,2.7,2,385,5,3.1355309029100744
5.0,37,2023-09-26 19:54:49,6.0,4,385,6,3.023717385504793
3.1,40,2023-09-26 20:44:43,3.0,2,385,5,10.351203312482767
3.9,33,2023-09-25 14:44:58,1.5,2,384,4,3.82785021692461
6.6,60,2023-09-25 15:22:10,3.0,2,384,4,3.5799876807870485
2.55,57,2023-09-25 15:29:09,2.7,1,384,3,10.240431817143143
3.0,72,2023-09-25 15:31:15,4.2,2,384,5,7.163038112902075
4.3,40,2023-09-25 15:31:31,6.0,3,384,6,6.929494921030836
11.4,45,2023-09-25 15:34:20,6.0,2,384,9,3.522923581829879
10.2,91,2023-09-25 15:43:58,4.8,4,384,9,4.064113191301924
6.0,67,2023-09-25 16:21:01,2.7,2,384,7,12.276670971113262
4.5,45,2023-09-25 17:26:20,6.0,4,384,8,4.826370752611463
3.6,72,2023-09-25 17:34:50,4.2,2,384,5,7.163038112902075
4.0,49,2023-09-25 17:57:18,3.3,1,384,4,7.621127302391137
2.6,50,2023-09-23 13:49:30,4.8,3,382,5,3.258764914012
8.0,90,2023-09-23 14:44:47,4.8,3,382,9,7.082372303573035
2.3,24,2023-09-23 15:20:16,4.8,3,382,5,7.804553092742018
6.0,82,2023-09-23 16:50:48,3.3,4,382,10,3.9290021517962006
5.4,51,2023-09-23 16:55:39,1.5,3,382,7,7.031684224173031
5.5,49,2023-09-23 17:02:24,4.2,3,382,5,7.031684224173031
1.6,20,2023-09-23 21:28:19,1.5,1,382,4,11.931112392656471
8.5,62,2023-09-23 21:30:28,3.3,3,382,9,5.953037445208633
5.0,60,2023-09-24 06:45:21,4.8,4,382,8,5.221615524219777
3.6,40,2023-09-24 09:13:59,4.8,2,383,5,8.226154501035758
2.55,52,2023-09-24 10:44:47,3.3,2,383,3,10.496238861697938
6.5,45,2023-09-24 10:57:03,4.8,2,383,9,4.0697559057088295
5.1,48,2023-09-24 12:36:54,1.5,3,383,7,7.621127302391137
5.8,94,2023-09-24 14:38:13,4.8,3,383,5,3.9290021517962006
6.0,85,2023-09-24 15:08:33,4.8,3,383,10,3.9290021517962006
3.6,27,2023-09-24 16:22:17,1.5,2,383,5,5.609554429497919
5.9,47,2023-09-24 17:13:49,4.2,4,383,8,4.064113191301924
5.6,72,2023-09-24 18:09:16,6.0,1,383,12,8.62080058303878
9.5,85,2023-09-24 18:14:56,6.0,3,383,7,2.6514590328759553
3.55,37,2023-09-24 22:21:42,1.5,2,383,6,7.621127302391137
5.4,55,2023-09-25 08:58:04,2.7,2,384,4,7.621127302391137
6.2,70,2023-09-25 09:34:52,4.8,4,384,7,3.294632599631027
8.3,77,2023-09-25 10:21:59,4.8,3,384,9,9.358332682661967
2.55,61,2023-09-25 10:31:44,4.2,3,384,8,1.0033381358797573
6.3,109,2023-09-25 10:37:38,6.0,2,384,6,9.358332682661967
5.5,67,2023-09-25 10:42:56,6.0,3,384,5,9.358332682661967
4.5,75,2023-09-25 10:51:11,6.0,3,384,5,9.358332682661967
4.37,28,2023-09-22 15:43:21,4.8,2,381,6,3.294632599631027
12.9,98,2023-09-22 15:52:29,3.3,2,381,14,4.064113191301924
3.9,92,2023-09-22 15:58:39,4.8,3,381,5,3.3787177599464893
6.8,60,2023-09-22 16:13:39,4.2,4,381,8,7.621127302391137
2.75,52,2023-09-22 20:24:31,3.0,1,381,3,9.358332682661967
6.28,55,2023-09-22 21:23:08,4.8,2,381,6,7.031684224173031
6.28,85,2023-09-22 21:29:01,6.0,2,381,13,7.031684224173031
2.5,55,2023-09-22 22:40:35,4.8,1,381,5,3.1355309029100744
2.7,68,2023-09-22 23:21:14,1.5,2,381,5,9.358332682661967
6.4,60,2023-09-23 11:14:38,4.8,3,382,7,6.9247897538086844
4.0,56,2023-09-23 11:20:35,4.8,3,382,7,6.9247897538086844
6.0,58,2023-09-22 09:03:45,4.8,2,381,6,7.621127302391137
6.6,75,2023-09-22 09:19:52,6.0,4,381,8,3.294632599631027
2.5,57,2023-09-22 10:49:19,4.8,3,381,5,19.88905339366906
7.5,50,2023-09-22 11:18:37,4.8,1,381,3,9.11083711946321
4.6,44,2023-09-22 12:30:32,6.0,4,381,8,9.121850715074856
2.3,34,2023-09-22 14:41:19,4.2,2,381,5,5.609554429497919
5.5,55,2023-09-21 15:24:11,4.8,3,380,6,9.358332682661967
5.7,52,2023-09-21 15:40:14,3.3,2,380,12,10.527530422973213
6.9,60,2023-09-21 16:01:00,4.8,3,380,7,3.294632599631027
11.0,55,2023-09-21 16:08:17,4.5,2,380,6,4.9399454906497615
5.98,72,2023-09-21 16:18:50,3.3,2,380,6,8.62080058303878
3.5,44,2023-09-21 16:23:41,2.7,3,380,5,6.9247897538086844
5.3,112,2023-09-21 20:04:26,1.8,2,380,12,3.1355309029100744
5.2,40,2023-09-21 22:11:34,6.0,2,380,7,7.211063019198964
7.8,89,2023-09-21 22:16:35,3.3,2,380,6,7.031684224173031
6.68,80,2023-09-21 22:46:03,4.2,4,380,8,7.621127302391137
7.3,112,2023-09-21 08:37:45,4.2,4,380,8,5.609554429497919
2.25,45,2023-09-21 08:53:34,3.0,2,380,4,1.0033381358797573
2.35,50,2023-09-21 09:14:59,4.5,3,380,6,2.127430944469688
6.9,60,2023-09-21 09:37:41,4.2,3,380,7,4.064113191301924
5.2,65,2023-09-21 10:04:43,4.8,2,380,9,10.527530422973213
14.0,80,2023-09-21 11:00:16,4.8,3,380,8,5.1249943780676155
8.28,80,2023-09-20 07:20:02,1.5,2,379,9,7.621127302391137
5.8,55,2023-09-20 09:19:45,6.0,2,379,4,4.064113191301924
3.5,52,2023-09-20 10:22:36,3.0,1,379,4,7.621127302391137
1.9,32,2023-09-20 11:39:46,3.3,2,379,4,3.294632599631027
6.5,81,2023-09-20 11:57:47,4.8,2,379,8,4.064113191301924
4.8,60,2023-09-20 14:24:01,1.5,3,379,9,6.495211523686947
5.0,60,2023-09-20 14:26:44,4.8,3,379,7,9.358332682661967
7.9,56,2023-09-20 15:04:32,4.5,3,379,13,3.231962819459815
2.0,30,2023-09-20 15:24:59,1.5,2,379,2,7.945889583331053
10.9,120,2023-09-20 15:55:02,4.8,2,379,10,7.621127302391137
6.2,70,2023-09-20 17:36:53,1.5,3,379,7,9.543217643357233
4.85,120,2023-09-20 20:18:35,4.8,2,379,5,10.527530422973213
1.7,17,2023-09-19 11:38:16,0.0,2,378,3,14.1856077798115
6.6,48,2023-09-19 13:37:57,1.5,4,378,8,3.294632599631027
3.3,52,2023-09-19 13:55:36,2.7,2,378,5,3.1355309029100744
5.9,44,2023-09-19 14:22:34,4.5,3,378,7,3.230931057384702
9.0,80,2023-09-19 14:28:20,3.3,3,378,7,2.544566904760919
4.8,40,2023-09-18 16:15:06,6.0,4,377,6,10.814015842385082
5.7,68,2023-09-18 16:16:20,4.8,4,377,10,6.9247897538086844
4.8,56,2023-09-18 16:25:12,6.0,3,377,11,6.9247897538086844
9.38,100,2023-09-18 16:38:34,3.3,4,377,9,7.621127302391137
4.675000000000001,88,2023-09-18 16:59:11,4.2,3,377,7,10.042410909676594
3.1,20,2023-09-18 17:05:22,2.7,2,377,2,6.9247897538086844
5.2,73,2023-09-18 21:22:48,4.8,1,377,10,9.650401301549396
5.5,33,2023-09-19 08:47:42,3.0,2,378,9,5.609554429497919
11.5,95,2023-09-19 09:19:43,4.8,4,378,11,8.87359545069024
5.8,50,2023-09-19 09:33:27,6.0,4,378,7,4.064113191301924
5.4,63,2023-09-19 10:09:15,1.5,2,378,4,5.510718742135019
2.65,46,2023-09-18 10:05:20,4.2,3,377,7,4.417086378088909
3.5,30,2023-09-18 10:35:29,4.8,2,377,4,3.1289120454351944
7.38,100,2023-09-18 10:48:33,4.8,3,377,7,10.527530422973213
6.5,54,2023-09-18 12:07:42,3.3,3,377,9,10.137848716703981
5.7,90,2023-09-18 12:11:31,3.3,1,377,6,11.477219733711115
8.88,88,2023-09-18 14:56:13,4.8,3,377,9,10.62395909413569
2.75,58,2023-09-18 15:27:04,4.8,3,377,11,9.021275173915805
4.0,70,2023-09-12 21:50:51,2.7,2,371,5,10.527530422973213
5.8,70,2023-09-16 23:14:36,4.8,3,375,7,9.358332682661967
9.98,55,2023-09-17 07:49:32,4.8,2,376,6,10.527530422973213
2.45,47,2023-09-17 09:40:07,3.3,4,376,10,1.0033381358797573
4.8,38,2023-09-17 11:17:09,3.3,2,376,4,4.064113191301924
4.2,50,2023-09-17 13:09:17,4.8,2,376,4,4.064113191301924
4.7,65,2023-09-17 13:09:35,3.0,4,376,10,9.624884835685796
5.3,40,2023-09-17 13:27:58,6.0,2,376,4,4.064113191301924
6.0,81,2023-09-17 14:05:01,3.3,4,376,9,12.036628139887247
3.0,45,2023-09-17 14:14:43,2.7,2,376,4,5.700976069814315
3.0,36,2023-09-17 14:18:54,4.5,2,376,4,10.137848716703981
5.8,65,2023-09-17 16:03:54,6.0,2,376,5,8.927697086168749
6.5,55,2023-09-17 19:41:11,3.0,3,376,9,10.62395909413569
4.0,45,2023-09-18 07:01:33,4.8,3,376,7,7.621127302391137
12.68,80,2023-09-16 15:13:28,1.5,2,375,10,7.031684224173031
4.9,64,2023-09-16 15:44:20,4.8,2,375,4,10.527530422973213
3.5,38,2023-09-16 16:53:40,4.8,1,375,4,5.609554429497919
3.8,50,2023-09-16 17:09:54,4.8,2,375,5,3.294632599631027
5.3,85,2023-09-16 17:22:09,4.8,2,375,5,9.358332682661967
5.6,58,2023-09-16 18:54:42,3.3,2,375,5,14.351371291861508
5.2,75,2023-09-09 14:43:01,4.8,4,368,9,9.650401301549396
5.8,60,2023-09-15 14:50:04,6.0,3,374,6,10.308033118823039
8.1,65,2023-09-15 14:55:38,4.2,3,374,7,9.358332682661967
3.75,39,2023-09-15 14:59:01,3.0,2,374,4,8.928275672256062
6.28,55,2023-09-15 15:40:49,4.8,1,374,8,7.753552672061483
14.0,55,2023-09-15 15:50:19,6.0,1,374,10,10.527530422973213
5.7,60,2023-09-15 16:33:46,6.0,2,374,4,4.064113191301924
4.9,55,2023-09-15 17:05:32,1.5,1,374,3,14.351371291861508
3.0,48,2023-09-15 17:40:41,6.0,1,374,3,6.9247897538086844
4.0,45,2023-09-16 08:34:14,4.8,3,375,6,8.227409154828935
10.7,64,2023-09-16 09:59:31,3.0,3,375,6,7.413485443470874
6.4,53,2023-09-16 10:31:18,4.8,3,375,6,9.883424325046047
10.7,70,2023-09-16 11:55:16,4.8,2,375,11,6.9247897538086844
4.4,43,2023-09-13 09:25:10,4.8,2,372,7,5.609554429497919
12.5,65,2023-09-15 09:11:50,4.8,3,374,8,5.42437050571318
7.0,50,2023-09-15 09:34:18,4.8,4,374,7,6.9247897538086844
6.28,110,2023-09-15 09:58:50,3.0,2,374,9,7.031684224173031
6.99,68,2023-09-15 10:37:20,4.5,2,374,7,14.085782084956817
1.45,36,2023-09-15 10:41:42,6.0,2,374,6,2.5630002947631243
4.1,40,2023-09-15 10:47:41,6.0,2,374,5,4.064113191301924
6.8,42,2023-09-15 13:37:31,3.3,3,374,7,4.303591335160318
1.99,30,2023-09-15 14:00:00,6.0,1,374,3,4.064113191301924
6.7,72,2023-09-15 14:02:10,1.5,4,374,8,6.9247897538086844
2.29,37,2023-09-14 09:33:16,1.5,2,373,7,3.527013568080832
4.95,54,2023-09-14 10:07:11,4.8,3,373,6,6.162837199879194
2.7,42,2023-09-14 10:35:23,2.7,2,373,4,10.240431817143143
8.0,104,2023-09-14 10:41:35,4.8,3,373,8,9.358332682661967
2.35,42,2023-09-14 10:56:57,6.0,2,373,7,4.064113191301924
3.7,70,2023-09-14 11:15:58,6.0,2,373,5,4.064113191301924
6.68,80,2023-09-14 12:28:53,6.0,3,373,6,9.363746821782087
7.0,76,2023-09-14 13:21:39,6.0,3,373,8,6.9247897538086844
4.7,55,2023-09-14 14:33:44,4.2,2,373,11,10.527530422973213
6.28,55,2023-09-14 14:49:28,3.0,4,373,6,7.741902009525506
5.0,75,2023-09-14 14:53:35,2.7,1,373,9,3.1355309029100744
2.65,57,2023-09-14 15:40:48,6.0,2,373,7,3.294632599631027
4.2,60,2023-09-14 16:58:27,6.0,2,373,5,4.064113191301924
6.68,78,2023-09-14 20:11:03,4.8,2,373,9,10.527530422973213
6.5,82,2023-09-15 08:16:25,4.8,3,374,7,7.621127302391137
5.3,78,2023-09-13 17:29:42,3.3,2,372,5,5.609554429497919
4.7,63,2023-09-13 18:52:17,6.0,2,372,3,10.114299213735965
5.7,62,2023-09-13 20:52:30,4.8,2,372,6,4.0647410836552105
5.38,78,2023-09-13 21:38:17,2.7,2,372,5,10.369028093322836
3.4,45,2023-09-13 16:41:40,4.8,2,372,3,4.064113191301924
6.68,78,2023-09-13 17:04:05,4.8,4,372,8,10.527530422973213
6.2,60,2023-09-13 09:59:03,4.2,3,372,7,5.609554429497919
10.58,80,2023-09-13 10:33:42,3.3,4,372,8,7.031684224173031
4.2,55,2023-09-13 11:14:00,1.8,1,372,5,11.68882742918935
1.6,15,2023-09-13 11:43:36,4.5,2,372,2,6.9247897538086844
7.0,66,2023-09-13 12:23:32,4.2,3,372,7,10.910000776599015
4.2,48,2023-09-13 13:59:51,4.2,3,372,5,7.789170234312453
9.1,120,2023-09-13 14:08:41,4.8,3,372,12,4.362087070590153
7.2,56,2023-09-13 14:14:08,3.0,1,372,5,2.1582165483192317
4.975,67,2023-09-13 14:40:27,4.8,3,372,10,1.0033381358797573
3.8,40,2023-09-12 09:25:15,6.0,2,371,4,4.970813087870796
13.5,61,2023-09-12 09:45:10,4.8,3,371,7,5.41933170388819
3.3,51,2023-09-12 10:40:47,2.7,2,371,5,3.1355309029100744
4.2,55,2023-09-12 10:59:21,1.5,1,371,3,5.609554429497919
2.29,34,2023-09-12 11:25:31,4.8,3,371,7,4.064113191301924
6.0,60,2023-09-12 11:26:26,6.0,2,371,5,10.910000776599015
4.2,55,2023-09-12 12:50:20,3.3,1,371,3,5.609554429497919
4.9,60,2023-09-12 13:01:48,6.0,2,371,7,9.358332682661967
7.3,56,2023-09-12 13:06:20,1.5,3,371,12,4.064113191301924
11.8,55,2023-09-12 13:16:19,1.5,1,371,2,7.527835337652769
6.1,72,2023-09-12 13:21:46,4.8,4,371,11,10.527530422973213
5.88,80,2023-09-12 14:43:24,4.8,4,371,8,10.527530422973213
6.0,55,2023-09-12 15:42:18,4.8,3,371,10,12.463610643565753
13.3,75,2023-09-11 17:23:50,4.8,2,370,12,6.9247897538086844
4.9,88,2023-09-11 17:27:08,6.0,1,370,6,12.089377321657945
4.6,64,2023-09-11 17:28:38,3.0,1,370,6,12.184079753350614
7.0,52,2023-09-11 17:32:53,6.0,3,370,7,4.064113191301924
4.7,40,2023-09-11 17:41:46,6.0,2,370,4,4.064113191301924
6.2,64,2023-09-11 18:26:47,4.8,4,370,9,10.527530422973213
4.3,105,2023-09-11 20:28:31,1.5,2,370,7,4.064113191301924
5.3,57,2023-09-11 21:04:33,1.5,2,370,5,8.154934469568547
4.0,76,2023-09-11 21:49:40,4.8,2,370,4,11.230729488266162
6.88,68,2023-09-11 23:05:30,4.8,4,370,8,10.527530422973213
5.58,96,2023-09-12 06:42:05,4.8,3,370,6,10.527530422973213
6.8,70,2023-09-12 09:07:13,2.7,1,371,4,5.4095763301403705
3.3,22,2023-09-11 14:45:30,4.2,3,370,5,3.4282014637818112
12.38,90,2023-09-10 22:19:55,1.5,2,369,9,7.621127302391137
9.68,86,2023-09-11 08:16:41,4.2,4,370,8,5.609554429497919
4.8,38,2023-09-11 09:32:47,1.5,2,370,4,5.572999341697547
4.2,35,2023-09-11 10:00:43,4.8,3,370,5,2.928158257291061
4.98,75,2023-09-11 10:04:17,3.3,4,370,9,3.1355309029100744
2.1,12,2023-09-11 10:53:46,3.0,2,370,3,3.5799876807870485
4.6,52,2023-09-11 11:04:50,3.3,2,370,6,5.609554429497919
2.85,28,2023-09-11 11:59:08,4.5,2,370,3,7.211063019198964
2.95,21,2023-09-11 12:04:34,6.0,2,370,4,3.4606641519698815
4.6,52,2023-09-11 12:11:10,4.8,2,370,6,5.609554429497919
11.5,84,2023-09-11 13:14:08,4.8,2,370,6,10.527530422973213
6.0,49,2023-09-11 13:46:56,1.5,3,370,8,4.063896900456503
4.8,48,2023-09-11 13:52:16,6.0,2,370,5,7.4425190442591855
5.7,80,2023-09-11 14:33:55,6.0,4,370,7,4.934125054393464
3.2,30,2023-09-11 14:09:24,3.3,2,370,4,5.5862517112339924
2.75,40,2023-09-09 11:23:51,6.0,2,368,5,2.3086017498758182
6.3,67,2023-09-09 11:33:07,4.8,3,368,9,8.37674110500201
4.98,50,2023-09-09 11:42:38,6.0,2,368,6,6.9247897538086844
7.9,120,2023-09-09 12:00:46,4.8,3,368,8,10.527530422973213
8.0,80,2023-09-09 12:42:54,3.3,3,368,8,5.700976069814315
2.29,20,2023-09-09 12:56:34,1.5,3,368,4,5.609554429497919
6.2,76,2023-09-09 13:18:34,6.0,2,368,3,11.776683628280988
4.2,47,2023-09-09 16:04:05,4.8,2,368,8,4.064113191301924
3.899,55,2023-12-10 17:11:02,3.3,1,460,3,10.137848716703981
6.95,80,2023-12-08 10:31:28,4.8,2,458,6,4.486258207814924
4.0,33,2023-12-08 10:59:42,4.8,3,458,6,4.064113191301924
12.8,75,2023-12-08 14:17:25,2.7,4,458,11,2.1360643420744605
8.99,85,2023-12-08 16:52:19,1.5,2,458,10,7.621127302391137
6.9,80,2023-12-08 17:56:09,3.0,1,458,12,5.71224894087829
6.9,80,2023-12-09 11:12:05,1.5,4,459,8,3.9290021517962006
6.1,57,2023-12-09 11:21:53,2.7,4,459,7,8.978291097023943
4.69,31,2023-12-09 11:34:42,4.8,3,459,7,7.621127302391137
8.3,80,2023-12-09 13:46:24,4.8,3,459,9,14.135809531714393
3.35,50,2023-12-09 22:57:08,4.8,2,459,4,7.621127302391137
9.9,94,2023-12-10 11:13:00,4.8,3,460,7,8.986732772684467
2.95,36,2023-12-10 15:27:58,1.5,2,460,4,7.621127302391137
7.4,55,2023-12-07 10:47:17,6.0,4,457,10,3.294632599631027
5.1,60,2023-12-07 14:37:00,4.2,2,457,5,1.0033381358797573
4.55,48,2023-12-07 15:27:44,4.8,4,457,9,10.527530422973213
6.9,80,2023-12-07 15:51:17,4.8,4,457,8,7.078024205811729
3.35,35,2023-12-07 18:17:09,4.8,2,457,4,9.358332682661967
4.3,50,2023-12-07 20:11:01,6.0,3,457,7,5.700976069814315
10.9,57,2023-12-07 21:15:38,4.2,2,457,7,6.9247897538086844
4.9,56,2023-12-01 15:16:26,6.0,1,451,4,5.609554429497919
4.7,50,2023-12-01 15:25:16,4.2,2,451,5,6.9247897538086844
6.25,42,2023-12-01 15:47:10,1.5,4,451,6,6.9247897538086844
5.0,44,2023-12-01 16:09:32,2.7,2,451,4,4.167444143008261
7.5,85,2023-12-01 17:09:50,3.0,2,451,4,6.9247897538086844
5.38,80,2023-12-02 06:01:48,3.0,3,451,8,10.527530422973213
9.3,80,2023-12-02 09:23:56,6.0,4,452,8,7.3783066774245185
4.3,40,2023-12-02 14:14:32,1.5,2,452,5,6.9247897538086844
5.5,55,2023-12-02 15:29:38,1.5,2,452,8,9.358332682661967
8.9,61,2023-12-02 19:21:46,3.0,2,452,10,7.621127302391137
5.7,96,2023-12-02 20:40:42,4.8,2,452,2,7.621127302391137
7.0,55,2023-12-03 10:20:50,6.0,4,453,9,8.49990886349249
5.9,55,2023-12-03 12:12:00,6.0,1,453,8,4.064113191301924
5.78,37,2023-12-03 21:37:33,1.5,4,453,11,4.064113191301924
2.4,40,2023-12-04 06:12:06,4.2,2,453,4,12.434143511048383
6.6,65,2023-12-04 09:44:45,2.7,2,454,11,12.913676111671554
6.5,68,2023-12-04 10:29:38,4.8,4,454,9,10.527530422973213
4.85,63,2023-12-04 12:44:38,4.8,3,454,7,11.074635093704
5.5,66,2023-12-04 21:18:17,6.0,1,454,2,7.380191016279196
7.0,72,2023-12-05 11:39:15,4.2,2,455,6,3.023717385504793
5.9,65,2023-12-05 14:52:45,3.0,3,455,7,7.621127302391137
5.4,98,2023-12-07 09:37:16,4.8,2,457,9,7.621127302391137
5.8,52,2023-12-05 22:03:45,4.5,4,455,11,6.9247897538086844
3.65,22,2023-12-06 00:09:38,1.5,3,455,4,2.9717646214761326
6.18,72,2023-12-06 06:15:34,4.8,4,455,11,10.527530422973213
10.9,101,2023-12-06 08:07:49,3.3,1,456,4,5.662751597500179
5.3,50,2023-12-06 09:24:15,6.0,2,456,10,4.064113191301924
4.2,49,2023-12-06 13:54:12,4.8,4,456,10,7.621127302391137
5.2,57,2023-12-06 14:56:40,4.5,2,456,5,6.9247897538086844
4.8,40,2023-12-06 16:44:10,4.2,4,456,5,7.621127302391137
2.8,28,2023-12-01 14:04:08,1.5,3,451,4,5.609554429497919
3.7,89,2023-05-08 23:18:21,6.0,2,244,4,13.38745812852577
6.6,72,2023-11-08 17:07:33,3.0,3,428,10,6.9247897538086844
5.1,64,2023-11-08 17:12:34,6.0,3,428,8,6.9247897538086844
7.0,55,2023-11-08 20:32:47,1.5,2,428,7,10.825845784806239
3.7,75,2023-11-08 22:23:14,4.5,2,428,5,9.650401301549396
4.6,22,2023-11-09 09:24:40,4.8,2,429,7,3.294632599631027
4.7,55,2023-11-09 10:28:41,4.2,2,429,10,10.527530422973213
